"uniprot_gn_id","external_gene_name"
"A0A077S9N1","Lyz1"
"A0A087WNT3","Abi2"
"A0A087WPQ9","Nrxn3"
"A0A0A6YW88","Camkv"
"A0A0A6YWC8","Vim"
"A1BN54","Actn1"
"A1L3B8","Psmd7"
"A2A547","Rpl19"
"A2A6G9","Lasp1"
"A2ACH6","Sgcd"
"A2AIS0","Cacna1b"
"A2AKK5","Acnat1"
"A2AMH3","Slc44a1"
"A2AN08","Ubr4"
"A2AP31","Ndufb6"
"A2APY7","Ndufaf5"
"A2AS89","Agmat"
"A2ASM0","Lnpk"
"A2ASZ8","Slc25a25"
"A2ATU0","Dhtkd1"
"A2RSH4","Sv2c"
"A2RSV8","Cox4i1"
"A2RTC8","March5"
"A2RTT4","Ube2n"
"A3KML3","Ywhaq"
"A6H611","Mipep"
"A8IP69","Ywhag"
"B0R1E3","Hint1"
"B0V2N1","Ptprs"
"B0V2N8","Anxa2"
"B1AQR8","Lgals9"
"B1ARA3","Rpl26"
"B1AT92","Grb2"
"B1AXV0","Frrs1l"
"B1AZ42","Chmp6"
"B2MWM9","Calr"
"B2RPS1","Rab5b"
"B2RQQ1","Myh6"
"B2RRC5","Rabgap1"
"B2RRX2","Ppp3ca"
"B2RSH2","Gnai1"
"B2RSR7","Gpd1l"
"B2RSY3","Hepacam"
"B2RTM0","H4c2"
"B2RTM0","H4c1"
"B2RTM0","H4f16"
"B2RTM0","H4c8"
"B2RTM0","H4c6"
"B2RTM0","H4c4"
"B2RTM0","H4c3"
"B2RTM0","H4c11"
"B2RTM0","H4c12"
"B2RTM0","Hist1h4m"
"B2RTM0","Hist1h4n"
"B2RTM0","H4c9"
"B2RTM0","H4c14"
"B2RTM2","Ucp3"
"B2RUK5","Mccc2"
"B2RXA1","Plcxd2"
"B2RXY7","Cbr1"
"B6VGH4","Cyp1a2"
"B7ZMP1","Xpnpep3"
"B9EHN0","Uba1"
"B9EIX2","Cep170b"
"D2KHZ9","Gapdh"
"D3YVM5","Rplp0"
"D3YVZ9","Mrps21"
"D3YWY6","Mpc1"
"D3YZN4","Spg7"
"D3Z041","Acsl1"
"D3Z0F5","Cops6"
"D3Z0J2","Cav1"
"D3Z1B5","Phkg1"
"D3Z4U3","Ube2k"
"D3Z5I7","Dpp10"
"D3Z781","Etl4"
"D3Z7E5","Gsk3a"
"D3Z7P3","Gls"
"D6RCW7","Capza2"
"D6RE51","Faf2"
"D6RHS6","Pebp1"
"E0CXN5","Gpd1"
"E0CYP1","Ccdc127"
"E9PUL5","Prrt2"
"E9PV24","Fga"
"E9PWU7","Kifc3"
"E9PXC0","Srp54c"
"E9PXV3","Camk2d"
"E9PZW0","Dsp"
"E9Q0U7","Hsph1"
"E9Q242","Adsl"
"E9Q4G8","Alcam"
"E9Q706","Adcy9"
"E9Q8N1","Ttn"
"E9Q9C5","Atp6v0c"
"E9QAI5","Cad"
"E9QLB2","Lyplal1"
"E9QQ96","Obscn"
"F6U7V1","Ryr2"
"F8VQ42","Kif2a"
"F8WGT1","Ahcyl2"
"F8WHL1","Slc30a9"
"G3UXX3","Spr"
"G3UYU6","Ptprd"
"G3UZA4","Csnk2b"
"G3X9V4","Grin2b"
"G5E829","Atp2b1"
"G5E850","Cyb5a"
"G5E884","Pak1"
"G5E8D1","Sprr2k"
"G5E8K2","Ank3"
"G5E8R3","Pcx"
"G5E8V8","Phax"
"H3BJK5","Cog2"
"H7BX88","Crat"
"I7HLV2","Rpl10"
"J3QP43","Stum"
"J3QP56","Lypla1"
"J7NUP1","Irgm1"
"K3W4M2","Ryr1"
"K3W4Q8","Bsg"
"K3W4R2","Myh14"
"K4DI76","Cadps"
"O08532","Cacna2d1"
"O08539","Bin1"
"O08553","Dpysl2"
"O08599","Stxbp1"
"O08601","Mttp"
"O08749","Dld"
"O08807","Prdx4"
"O35136","Ncam2"
"O35295","Purb"
"O35405","Pld3"
"O35459","Ech1"
"O35488","Slc27a2"
"O35490","Bhmt"
"O35490","Gm5096"
"O35566","Cd151"
"O35678","Mgll"
"O35685","Nudc"
"O35864","Cops5"
"O54824","Il16"
"O54991","Cntnap1"
"O55042","Snca"
"O55143","Atp2a2"
"O55234","Psmb5"
"O70161","Pip5k1c"
"O88451","Rdh7"
"O88587","Comt"
"O88704","Hcn1"
"O88712","Ctbp1"
"O88737","Bsn"
"O88908","Soat2"
"O88935","Syn1"
"O88967","Yme1l1"
"O88986","Gcat"
"O89104","Sypl2"
"P00920","Car2"
"P01027","C3"
"P03995","Gfap"
"P05063","Aldoc"
"P05202","Got2"
"P05213","Tuba1b"
"P06745","Gpi1"
"P06837","Gap43"
"P08249","Mdh2"
"P08752","Gnai2"
"P09055","Itgb1"
"P09411","Pgk1"
"P10649","Gstm1"
"P11352","Gpx1"
"P11798","Camk2a"
"P11881","Itpr1"
"P11930","Nudt19"
"P11983","Tcp1"
"P12787","Cox5a"
"P12960","Cntn1"
"P14115","Rpl27a"
"P14152","Mdh1"
"P15105","Glul"
"P16054","Prkce"
"P16125","Ldhb"
"P16332","Mmut"
"P17426","Ap2a1"
"P17665","Cox7c"
"P17751","Tpi1"
"P19096","Fasn"
"P19157","Gstp1"
"P20108","Prdx3"
"P21614","Gc"
